,date,review,rating,isEdited,title,userName,developerResponse,review-en
0,2017-07-17 19:05:02,"Buradaki bazı yorumları okudugumda aklımda soru işaretleri vardı, ancak uygulamayı kullanınca keşke daha önceden tanışsaydım dedim. Çevremde sınava hazırlananlara hep öneriyorum. Gelen çözümlerden sonra sormak istediğiniz bir yeri tekrar tekrar sorup soruyu en ince ayrıntısına kadar bir tık uzağından öğrenebiliyorsunuz. Çok faydalı bir uygulama, dilerim daha da gelişir. Emeği geçen herkesin ellerine sağlık...",5,FALSE,Çok memnunum,Şkjgjl,,"When I read some of the comments here, I had question marks in my mind, but I wish I had met before. I always recommend those who are preparing for the exam around me. After the solutions, you can ask a place again and again and learn the question from a click away to the finest detail. It is a very useful application, I hope it will develop even more. Thanks for everyone who has contributed efforts..."
1,2017-05-09 21:49:02,Cok güzel keske daha önceden kesfetseydim diyorum sınava hazırlanmamda cok yardımcı oluyor,5,FALSE,👍🏻👍🏻👍🏻,😚😝😘😃,,"Very nice wish, I say if I had cut it before, it helps me to prepare for the exam."
2,2017-05-25 12:17:14,İlk üç soru deneme hakkında sorularım güzel çözülünce üye olmak istedim ancak sorularımın çoğu yanlış çözülüyor ve geri dönüşler çok geç oluyor. Eğitmenlerin çoğu sadece cevap anahatarında işaretli olanı yalan yanlış işlemlerle doğru göstermeye çalışıyor. KESİNLİKLE TAVSİYE ETMEM!!!,1,FALSE,Tavsiye etmem,Thinkingpink123,"{'id': 1650421, 'body': 'Merhaba, üyelerimizin verdiği 10 geri dönüşten 9’u 5 üzerinde 5 puan alıyor. Kaliteli ve hızlı çözüm sunmak en önem verdiğimiz iki konu. Umarım Kunduz’u tekrar deneme fırsatı bulursun, bu tarz bir sorun yaşamayacağına eminiz :)', 'modified': '2017-11-02T16:26:23Z'}","The first three questions were solved when my questions about trial is well solved, but most of my questions are solved incorrectly and feedback is too late. Most of the trainers are just trying to show the right with false procedures to lie. I definitely do not recommend !!!"
3,2017-08-25 9:16:56,Okulda hocalarımın peşinden koşuyordum sonuçta hüsranla bitiyordu. Sonunda kunduzu buldum çözümleri 10 dk içinde atıyorlar eğer anlamadıysanız bir daha açıklıyorlar ve destek ekibide çok ilgili.,5,FALSE,Eğer okulda sorularınızı çözdüremiyorsunuz mükemmel,sena yaman,,"I was chasing my teachers at school. Finally, I found the swaddled solutions in 10 minutes, if you don't understand, they explain again and the support team is very interested."
4,2017-04-05 6:26:10,Sakın para vermeyin matematik öğretmeni olarak soru gönderdim hiç birini çözemediler.başarısız,1,FALSE,Sıkıntılı,Mat kafası,"{'id': 1650494, 'body': ""Merhaba, Kunduz olarak %100 çözüm garantisi sunuyoruz. Şu ana kadar eğitmenlerimiz tarafından çözülemeyen hiçbir soru olmadı. Eğer destek@kunduzapp.com'dan e-mail atarak iletişime geçerseniz. Durumu hemen inceleriz ve yardımcı oluruz."", 'modified': '2017-11-02T16:40:10Z'}","Don't give money, I sent a question as a mathematics teacher, they couldn't solve any of them."
5,2017-04-23 20:52:28,Gerçekten 5 yıldızı hakeden bir uygulama!!,5,FALSE,Çok iyi,KhaL 62,,A application that really deserves 5 stars !!
6,2017-10-26 8:35:43,Valla gençler kötü yorumları da gördüm ama ben mezunum ve sırf bu uygulama için telefon aldım bi özel derste sorabileceğiniz max soru saatte 20 en fazla 30 olsun ve ücreti de bilen bilir en kötüsü 150₺ ama burda 300 soru 75₺ biraz bu açıdan bakarsanız fiyatlar çok iyi soru çözümleri en geç 10 15 dk ya geliyo 10 numara bi uygulama öneririm ve şunu da belirtmek isterim önceki yorumlara baktığım zaman para çekip soru hakkı vermediğini falan okudum bazen böyle sorunlar olabiliyor ama iletişime geçildiği zaman bu sorunumuzu hemen çözüyorlar ve diğer aylar içinde extra indirim sağlıyorlar iletişim açısındanda hiçbir sıkıntı yaşamadım 1 senedir kullanıyorum şiddetle tavsiye ederim,5,FALSE,Kunduz reis candır,xkalimut,,"Well, I saw bad comments, but I am graduated and just bought a phone for this application that you can ask in a special lesson max question may be 20 per hour and the fee knows the worst 150₺ but here is 300 questions 75₺ a little bit if you look at this angle very good prices are very good prices Question Solutions at the latest 10 15 minutes or I would recommend a number of 10 exams and I would also like to point out that when I look at the previous comments, I read that he did not give the right to question and sometimes such problems may be, but when they communicate, they solve this problem immediately and they provide extra discount in other months. I haven't had any problems in terms of it, I have been using it for 1 year, I highly recommend it."
7,2019-07-30 6:24:48,Daha neyi okuyorsun indir pişman olmayacaksın,5,FALSE,Hey oradaki,OzzyBkrr,,"What more do you read download, you won't regret"
8,2017-11-03 10:24:53,"Çözemediğim soruları ertesi gün öğretmenime sormayı unutuyor veya hep erteliyordum. Bu uygulamayla anında atıp çözümü alabiliyorum ve çözülmemiş sorularım hiç beklemiyor. Anlamadığım çözümlerde eğitmenler hemen iletişime geçip aklımdaki soruları da cevaplıyor. Dünyanın en rahat uygulaması,ayrıca özel derse oranlayınca çok uyguna geliyor. Her şey için teşekkürler Kunduz!!",5,FALSE,Anında çözüm için harika!!,iremselim,,"I forgot to ask my teacher the next day the questions I couldn't solve or I always postponed. With this application, I can instantly throw away and get the solution and my unresolved questions do not expect at all. In the solutions that I do not understand, the instructors immediately communicate and answer the questions in my mind. The world's most comfortable application is also very suitable when it is compared to a special lesson. Thanks for everything, Kunduz !!"
9,2020-01-26 14:25:53,"Kaç gündür düzelecek diye bekliyorum ama aşağıdaki arkadaşların belirttiği gibi ben de
1)Sorularımı atıyorum ama değerlendirme kısmında anlamadığım yeri sorduğumda cevap alamıyorum. 
2)Bunu destek bölümüne yazayım dedim ama açılmıyor.
3)Uygulamayı defalarca silip yeniden yükledim yok olmuyor mesajlar kısmı açılmıyor. SON GÜNCELLEMEYLE DÜZELTECEĞİZ DENDİ AMA DÜZELTİLMEDİ HALA AYNI SORUN DEVAM EDİYOR.
4)Sorularıma yanlış cevaplar geldiğinde bunu değerlendirme kısmında belirtip gönderiyorum ama geri dönüş alamıyorum  bir haftadan fazladır sorularım havada kalıyor. Aynı soruyu tekrar tekrar atmak zorunda kalıyorum. 
5)Ayrıca önceden olduğu gibi soruyu atmadan açıklamamızı yapabileceğimiz boşluk geri gelmeli. Şimdi hazır kalıplardan seçiyoruz ve ben esas sormak istediğimi soramıyorum. *Son güncelleme ile bu durum düzeltilmiş ama ben güvercinden cevap alamadıktan sonra bunun pek de bir önemi kalmıyor!

Keşke hiç paket almasaydım diyorum artık.
Bir an önce düzeltilmeli!

Edit: Benim işin peşini bırakmayıp mail vs. yoluyla sorunlarımı sürekli yazmamdan sonra geç de olsa benimle iletişime geçildi ve birkaç gün içinde sorun çözüldü. İlgilerinden dolayı teşekkür ederim.

Edit2*: Aylar sonra yine aynı problem ama bu sefer hala düzeltilmedi. Gerçekten psikolojik olarak bununla uğraşmaktan çok yoruldum kaç kere mail attım artık bilmiyorum. Sınav öğrencisiyim ve anlamadığım soruları sorduğumda cevap alamıyorum. Madem çalışmayacaktı neden Güvercin diye bir şey yapma gereği duydunuz. Gerçekten o kadar pişmanım ki üye olduğum için. Bir daha da asla! Herkesi uyaracağım nelerle karşılacaklarını bilsinler! Dalga mı geçiliyor anlamıyorum ki!? Kaç ay oldu ya kaç ay hala oyalamaya devam edin siz DÜZELMİYOR İŞTE! Abonelik paketim olmasaydı şimdiye iptal etmiştim. Yazık çok yazık!",1,FALSE,ACİL DÜZELTİLMELİ!,ahshadhhad,,"I have been waiting for how many days it will be better, but as the following friends stated
1) I take my questions, but when I ask the place I don't understand in the evaluation section, I can't get an answer.
2) I said let me write this to the support section, but it does not open.
3) I have erased the application repeatedly and reinstalled the messages part of the messages does not disappear. It was said that we will fix it with the last update, but the same problem still continues.
4) When the wrong answers come to my questions, I specify and send it in the evaluation section, but I cannot get a return for more than a week, my questions remain in the air. I have to throw the same question over and over again.
5) In addition, the gap we can make our explanation without throwing the question as before. Now we choose ready -made molds and I can't ask what I want to ask. *This situation has been corrected with the last update, but after I could not get an answer from the pigeon, it doesn't matter!

I wish I had never bought a package anymore.
It should be corrected as soon as possible!

Edit: not to let go of my job, etc. After I was constantly writing my problems through it, it was contacted with me, albeit late, and the problem was solved within a few days. Thank you for their interest.

Edit2*: months later the same problem, but this time has not been corrected. I am really tired of dealing with this psychologically, I don't know how many times have I sent an e -mail anymore. I'm an exam student and I can't get an answer when I ask questions I don't understand. If you wouldn't work, why did you need to do something called pigeon. I really regret it because I am a member. Never again! I will warn everyone, let them know what to meet! I don't understand whether it is waved!? How many months have it been or how many months still keep stalling, you don't get better! I would have canceled it without my subscription package. What a pity!"
