,date,review,rating,isEdited,userName,title,developerResponse,review-en
0,2020-04-15 22:11:36,"Hersey süper,haftalık TYT ,AYT denemesi de eklerseniz uygulama uçar,lütfen denemede ekleyin,YARARLI DİYE BASIN GENÇLER",5,FALSE,çalısannn,TYT AYT DENEME EKLEYİN,,"If you add everything super, weekly TYT, AYT attempt, the application flies, please add it in the experiment, it is useful."
1,2020-06-03 18:45:56,Arkdşlr efsane uygulama  yalnz  deneme ve soruların cevapları olrsa mükemmel olur lütfen yararlıya basın gereksz yere yazmıyoruz bunları🙏🏻,5,FALSE,Zennure6124,Efsane,,"Arkdşlr legendary application alone will be perfect if there are answers to questions, please press the useful we do not write them."
2,2020-11-27 9:10:10,Uygulama çok güzel çok faydalı çözemediğimiz soruların yanında nasıl çözüldüğünü de eklerseniz mükemmel olur -gören arkadaşlar yararlı desin ki üstlerde dursun-,5,FALSE,zeuss söylüyor,Çözüm ekleyin,,"The application is very nice very useful, as well as the questions we can not solve, if you add how it is solved -it will be useful to say that it is useful."
3,2020-04-23 18:12:15,Her şey çok güzel fakat uygulamanın bize sorduğu soruların cevaplarının yanında çözümlerini de küçük bir özet şeklinde verse uygulama 5 üzerinden 5 olur,4,FALSE,Yiğit Sarı,Soruların Çözümleri Gerekiyor,,"Everything is very nice, but if the application asks the questions that the application asks us, the application will be 5 out of 5."
4,2020-02-04 21:17:42,İnternet olmadan da kullanılabilse efsane olucak.,5,FALSE,Kıng lost,Çevrimdışı mod,"{'id': 13394914, 'body': 'Merhaba,\r\nSonraki soru, önceki soruya verdiğin cevaba göre seçiliyor. Bu yüzden sen cevap verdiğinde yeni soru seçiliyor. İnternete burada ihtiyaç duyuyoruz. İnternet olmadan çalışabilecek yöntemler üzerinde çalışıyoruz bu arada :)', 'modified': '2020-02-10T10:55:06Z'}",It will be a legend if it can be used without internet.
5,2020-04-23 16:47:47,Gerçekten güzel uygulama youtube’ da karşılaştım gerçekten güzel keşke denemede ekleseydiler çok süper ötesi birşey ortaya çıkardı,5,FALSE,bedo baba123,Mükemmel,,"Really nice application I met on youtube, it's really nice, I wish they added it in the experiment, it would have revealed something very super."
6,2020-11-28 15:54:15,Uygulama mükemmel.Ücretsizde erişim sağlayabiliyoruz.Fakat Tyt Ayt denemesi eklenirse çok daha güzel olur.Kesinlikle tavsiye ediyorum.Basılı tutarak yararlı diyebilirsiniz.,5,FALSE,Emre Yazıcı29,TYT AYT DENEMESİ,,The application is excellent.
7,2020-01-18 20:18:40,"Uygulama gerçekten yararlı. Soru çözerken kaleme erişebilmek, çok çeşitli yayınlarının olması ve uygulamanın kullanımının gerçekten kolay olması insanı cezbediyor. 
Evdeyken kullanımına gerek var mıdır bilmem ama yoldayken tam bir hayat kurtarıcı. 
Uygulamada eklenmesini istediğim bir şey var o da planı kendimizin belirleyebilmesi ve ona uyup uymadığımızı sorması (tıpkı kendi hazırladığı planlarda yaptığı gibi). 
Uygulamayı geliştirenlere teşekkür ediyorum.",5,FALSE,the_pr,Şiddetle tavsiye ederim.,"{'id': 13133510, 'body': 'Merhaba,\n\nPakodemy 2.0 ile planını kendin yapabilirsin:) Hemen güncelle!', 'modified': '2020-01-27T10:29:18Z'}","The application is really useful. It attracts people to access the pen while solving questions, having a wide variety of publications and the fact that the application is really easy to use.
I don't know if you need to use it when you're at home, but it's a life -saving on the road.
There is one thing that I want to be added in practice, and that he can determine the plan ourselves and ask if we are obeying it (just like he did in his own plans).
I thank those who developed the application."
8,2020-05-09 23:06:06,reklamlar kaldırılmalı bence aşırı sinir bozucu,1,FALSE,bencavsu,yorum,,I think ads should be removed
9,2020-12-07 11:58:00,"Ücretsiz olarak 5 test çözebiliyoruz,daha fazlasında premium istiyor sizden. Ben geçen yıl da kullandım bu yygulamayı ancak böyle bir şey yoktu. Test kitaplarının hakları nedeniyle 5 test çözebilirsiniz diyor. Çok beğeniyordum bu uygulamayı. Yazık olmuşş..",1,FALSE,afhkllnlnhfb,Sadece 5 test çözebiliyorsunuz,,"We can solve 5 tests for free, more than you want premium. I used it last year, but there was no such thing. He says you can solve 5 tests due to the rights of test books. I liked this application very much. It was a pity .."
10,2020-03-20 8:45:43,Çözdüğüm konuların soruları bitti acaba ne zaman yeni sorular gelecek ?,5,FALSE,kvrndesen,Yeni sorular ne zaman gelecek ?,"{'id': 14380597, 'body': 'Merhaba,\nÖncelikle tebrik ediyorum. Bir konudan oldukça fazla soru var. Tavsiyemiz diğer konulara geçmeniz yönünde olur. Yaklaşık 150.000 soru seni bekliyor.', 'modified': '2020-04-01T07:08:53Z'}","When the questions of the topics I have solved are over, when will new questions come?"
11,2020-11-17 12:14:22,Daha önceden premium üyeliği olmadan günlük sınırsız test çözebilirken bir süre önce bu test sayısı günlük 10 test ile sınırlandırıldı bugün fark ettim ki günlük 5 test hakkı verilmiş premiuma geçmeden de uygulamanın daha verimli bir şekilde kullanılmasını rica ediyorum.,2,FALSE,Ceydadmrts,Premium,,"While previously could solve unlimited tests without premium membership, I have noticed that the number of tests has been limited to 10 tests per day, so I have noticed that the application should be used more efficiently before I have been given 5 test rights daily."
12,2020-11-25 10:59:15,"Zaten reklam izleterek gelir elde ediyorsunuz. İnsanları günlük 5 testle sınırlamayı bırakmalısınız, isteyen reklamını izleyip istediği kadar test çözmeli. Hem size hem kullanıcıya kâr.",1,FALSE,extremerelax,Ücretli,,"You already earn revenue by watching ads. You should stop limiting people to 5 tests per day, you should watch the ad and solve as many tests as they want. Profit for both you and the user."
13,2020-05-04 12:06:20,Günde bari 5 reklam verin bırakın ARAYA TEST FİLAN ÇIKIYOR ADAM AKILLI REKLAM İZLİYEMİYOEUZ,1,FALSE,YksMağdurub,REKLAM YETER,,"At least 5 ads a day, let alone testing or something, the man is smart advertisement"
14,2020-05-08 10:36:28,Uygulamaya deneme ekleyin,5,FALSE,melihpldi,Deneme,,Add the trial to the application
15,2021-02-19 9:54:03,Tam böyle gaza gelmişsin çatır çatır soru çözüyorsun taaaak 5 testten fazla çöemezsin günde premium olmadan zor durumda olanlar var harbiden para yatıramayacak lütfen bari 10 test sınır koyun lütfen 1 yıldız bundan kırdım yoksa çok güzel bir uygulama teşekkürler gereğinin düşülmesini arz ederim :):):),4,FALSE,MC Talha :),Lütfen gereği düşünülsün,,"You have come to the gas like this you have solved the question Taaaak Taaaak You Can't Premium More than 5 Tests Premium Premium There are those who are in a difficult situation without premium, please put 10 test limits please put 1 star from this or a very nice application thanks to the need to fall :) :) :) :) :) :) :) :)"
16,2020-05-22 6:55:34,"Şimdiye kadar gördüğüm en en en güzel ve en yararlı uygulamalardan birisi, daha önce tamamen ücretsizdi ama zamanla kredi toplama vs başladı, şahsımca sıkıntı değil, aylık/3aylık veya belli zaman aralıkları için deneme veyahut çalıştığımız konudan zaman geçince hatırlatmak için tekrar tarama testi olsa daha da tadından yenmez",5,FALSE,yungoth,10 NUMARA 10 YILDIZ,,"One of the most beautiful and most useful applications I've ever seen was completely free before, but over time, credit collection, etc., personally, not a problem, but for monthly/3 months or certain time intervals, or to remind you after the subject we work for, even though the screening test is even more inedible"
17,2022-12-06 19:28:32,"Uygulama tam anlamıyla mükemmel ama yeterince erişilebilir değil.
Ben görme engelliyim ve soruları okuyamıyorum.
Lütfen bu konuda bir şeyler yapın.
Basılı tutup yararlı derseniz bu yorumu geliştiricilerde görebilirler.
Teşekkür ederim.",4,FALSE,talamura,Bir eksik var.,"{'id': 34142527, 'body': 'Merhaba, uygulamamızı sizin için geliştirirken düşüncelerinize her zaman çok önem veriyoruz. Bu fikrini ilgili arkadaşlarıma ileteceğim, bizimle paylaştığın için teşekkür ederim. Başka bir önerin olursa duymak isteriz info@pakodemy.com mail adresimizden bize ulaşabilirsin. İyi dersler diliyorum :)', 'modified': '2023-01-07T09:22:26Z'}","The application is perfectly perfect but not enough accessible.
I am visually impaired and I cannot read the questions.
Please do something about it.
If you press and hold it, they can see this comment in developers.
Thank you."
18,2020-12-23 7:55:51,Günde  5 testten daha fazla çözemessin ne demek siz öğrenciyi kısıtlıyorsunuz bırakınya öğrenci ne kadar çözcekse çözsün daha iyi olur,1,FALSE,papejs,UyguLama bozulmuş,,"What do you mean if you can't solve more than 5 tests a day, you restrict the student, let alone the student, it would be better to solve how much it will solve"
19,2020-11-25 8:22:51,Günde beş test çözebiliyosun sadece daha fazla çözmek için para vermek gerekiyo bütçesi olmayanlar için sıkıntılı biraz ama soruları güzel,1,FALSE,Grknevci,.,,"You can solve five tests a day just to give money to solve more, it is a bit troubled for those who do not have a budget but the questions are good."
20,2020-05-06 20:38:37,Konularla alakalı çıkmış sorularda verilse güzel olur,5,FALSE,Kajxksxk,Çıkmış sorular,,It would be nice if given in questions about the subjects.
21,2020-11-25 20:11:31,Program süper . Haftalık güncel deneme eklerseniz çok iyi olur 🙏🙏,5,FALSE,manuvaisvata,Deneme,,The program is super. It would be very good if you add a weekly current trial 🙏🙏
22,2020-11-21 13:45:58,Eskiden ücretsiz bir şekilde istediğimiz kadar test çözebiliyorduk ancak artık günde 5 testle sınırlandırmışsınız daha fazla çözebilmem için premium üye olmam gerekiyor.Meden böyle yaptınız sizi seçmemin nedeni ücretsiz ve kaliteli olmanız.İmkanım olsa YKS ye böyle uygulamalardan değil kitaplardan çalışırdım zaten.,1,FALSE,YmirFritzz,Ücretli,,"In the past, we could solve as many tests as we wanted free, but now you have limited 5 tests a day to solve the premium member to solve more."
23,2021-02-13 14:06:03,Günlük sadece 5 test sınırı var bunun için premiuma geçilmesi gerekiyor ayrıca soruların kaynakları yada kullanılan yayınların basit düzeyde olduğunu düşünüyorum YKS’ye göre ve her konudan 10 test var bu da yetersiz bi sayı,2,FALSE,takmaad?,Güzel AMA..,,"There are only 5 test limits per day, it needs to be passed to the premium, and I think that the questions or the publications used are simple levels according to YKS and there are 10 tests from each subject."
24,2022-01-04 13:50:50,"Uygulama her şeyiyle çok güzel fakat 1-5 zorluk seviyesi yetersiz oluyor 5. Seviyedeki bi insan daha da zorlarını arıyor. Seviye 10 a kadar çıksa daha güzel olur. Örneğin zorluk seviyesi 10'da olimpiyat soruları zorluğunda sorular olur bu sefer kimse 9-10 a kadar gelemez bir rekabet oluşur.
YARARLIYA TIKLAYIN ÜSTE ÇIKSIN",5,FALSE,CHESS*,Zorluk Seviyesi Yetersiz,,"The application is very nice with everything, but the level of 1-5 is insufficient. It would be better if the level is up to 10. For example, in the difficulty level 10, there will be questions in the difficulty of Olympic questions, this time no one can come up to 9-10 competition.
Click the useful"
25,2020-05-07 14:03:39,Test çözerken sorulara odaklanmak çok önemli ama her test çözerken reklam vermesi çok saçma ve dikkat dağıtıcı,2,FALSE,yasin sirvan,Reklam çok,,"It is very important to focus on questions while solving the test, but it is ridiculous and distracted to advertise when solving each test."
26,2021-09-22 5:51:57,Güzel ama günde sadece 50 soru çözebiliyorum onu 200 soruya çıkartabilir miyiz veya daha fazla ayrıca konu kartı sadece yazi şeklinde onu video olarakta yapabilirsiniz bide soruların cevaplarını açıklamasıyla olması daha iyi,4,FALSE,ksjsjsjjssjjs,Geliştirilmeli 🪄,,"Nice, but I can only solve 50 questions a day, can we take it to 200 questions, or more and more about the subject card in the form of a text you can do it as a video better than the answer to the questions better"
27,2020-12-18 21:59:18,Daha önceden de kullandığım bir uygulamaydı çok fazla yararlı ve güzeldi fakat artık 5 test çözme hakkımız var ve bu uygulamanın kalitesi fazlasıyla düşürüyor !!!!,2,FALSE,instagramcı 🤭,Neden sınırlı oldu ??,,"It was an application that I used before, but it was too useful and beautiful, but now we have the right to solve 5 tests and the quality of this application is very much lowering !!!!"
28,2020-05-06 10:31:37,Saçma,1,FALSE,gereğini yapın,Cevapları değiştiriyor saçma düzeltilmesi gerekiyor.,,Nonsense
29,2020-05-03 22:39:24,Reklamsız niye test çözemiyorum mobilden bağlananlar için sıkıntı oluyor bu kadar reklam olmasa daha güzel olur.,1,FALSE,mağdurbiriolarak,Reklammm,,I can't solve the test without advertising.
30,2020-04-10 15:52:58,Güncellemeyle beraber soru çözerkenki info tuşu çalışmıyor bastığım zaman sadece dönüyor. Hangi sorunun hangi yayından olduğunu göremiyorum.Düzeltirseniz sevinirim,2,FALSE,Theanosoldier,İos uygulama sorunu,"{'id': 14745345, 'body': 'Yeni versiyonla bu problem giderildi. Kontrol edebilir misiniz?', 'modified': '2020-04-18T07:07:58Z'}","With the update, the info key does not work when solving questions with the update. I can't see which problem is from which publication."
31,2022-12-04 15:40:48,İPHONE 6 da uygulamaya girildiğinde direkt uygulamadan atıyor. Acilen güncelleme gelmesi lazım,3,FALSE,mustafa8382,Uygulamadan atıyor,"{'id': 34142899, 'body': 'Merhaba Mustafa, böyle bir deneyim yaşadığın için çok üzgünüm. Yardımcı olabilmem için info@pakodemy.com mail adresimizden ulaşabilirsin. \n', 'modified': '2023-01-07T10:14:23Z'}","When the iPhone 6 is entered into the application, it takes direct application. I need to update urgently"
32,2021-10-14 16:39:02,Hayatımda ilk defa bir uygulamayı beğeniyorum gerçekten ilk oluyor garip bir hismiş onu fark ettim,5,FALSE,O.Yakar,Zor beğenen bir insanım,,I like an application for the first time in my life.
33,2021-12-04 18:40:28,"az bi test çözüyorsunuz sonrası ücretli
indirmeye değmez",1,FALSE,LÜTFEN AMA LÜTFEN,👎🏻,,"You solve a less test after the paid paid
not worth downloading"
34,2020-12-13 1:33:54,"İşte kar amacının ilk tercihleri olmayan insanların yaptığı bir uygulama. Para basmadan yararlanabiliyorum ,öğrenci hazinesi resmen.",5,FALSE,Hilal679,5 yıldızz,,"Here is an application made by people who do not have the first choice of profit. I can take advantage of the money, student treasure officially."
35,2021-09-26 9:59:05,gozuksun diye 4 verdim,4,FALSE,fulin kanca,ACILMIYOR,,I gave 4 to gozuksun
36,2020-09-20 14:15:19,"İnanılmaz güzel bir uygulama. Soruların altına onların çözümüne götüren linkleri bıraksanız (örneğin 3d yayınları tyt matematik 6. soru çözümü linki gibi) yanlış yaptığımız sorular için direkt tıklayıp çözüme gitsek çok daha güzel olur. Umarım uygulama bu şekilde ücretsiz devam eder. Herkese önereceğim, teşekkür ederim bu kadar güzel bir uygulamayı bizlere ücretsiz sunduğunuz için. Elinize emeğinize sağlık",5,FALSE,asenbyn,HARİKA,,"An incredibly beautiful application. If you leave the links that lead to their solution (such as 3D publications TYT Math 6. Question solution link), it would be much better if we go to the solution for the wrong questions. I hope the application will continue for free. I will recommend everyone, thank you for offering such a nice application for free. Thank you for your labor"
37,2020-09-14 1:40:42,"Keşke daha önce karşılaşsaymışım bu uygulamayla. Soru çeşitleri, zorluğu kolaylığı her şeyiyle o kadar muhteşem ki. Allah razı olsun demek geliyor içimden sadece. Psikolojik açıdan harika çünkü kalın kalın kitaplar korkutuyor insanı. Burada bir düzen içerisinde her şey. (Sadece daha fazla soru çözümü olur ve deneme sınavı eklerseniz, aşık olunur bu uygulamaya.) LÜTFEN DENEME SINAVI EKLEYİN!❤️",5,FALSE,Shezapp,Muhteşem!,,"I wish I had encountered this application before. Question types, the ease of difficulty is so great with everything. It means that God will be pleased. Psychologically great because thick books scare people. Everything in an order here. (If you only have more questions solution and add the trial exam, you will fall in love with this application.) Please add the trial exam! ❤️"
38,2020-09-06 20:19:15,Mükemmel bir uygulama. Aradığım herşey var. Renkli ve sistemli çalışmanın adresi.. aylardır aradığım uygulama 🌸💪🏻,5,FALSE,emphty,Aradığım uygulama,,An excellent application. There is everything I am looking for. The address of colorful and systematic work .. Application I've been looking for for months 🌸💪🏻
