,date,review,rating,isEdited,title,userName,developerResponse,review-en
0,2018-08-10 15:36:28,İndirmeyi düşünenlere şiddetle tavsiye ederim. Bu kadar yararlı olacağını hiç tahmin etmemiştim. Birkaç yoldur kullanıyorum ve verdiğim paraya değiyor.,4,FALSE,Gayet başarılı,Akakiy Akakiyeviç,,I highly recommend it to those who are considering downloading. I never thought it would be so useful. I use a few ways and it's worth the money I give.
1,2019-09-27 18:43:11,okul zorlamasa almazdım kendi hür iradesiyle alan bordo berelidir,2,FALSE,kötü,Sucuklupuding,,"I wouldn't take the school if it didn't force it, its own free will, the burgundy beret"
2,2018-08-12 10:58:00,"Kızım geçen sene liseye başladı. Teog, okul notları, sınav stresi derken çok yoruldu ve 9. sınıfa önem vermedi, liseye yeni geçmenin vermiş olduğu rahatlıkla notlarında düşüş yaşandı. İş yerinden bi arkadaşımın tavsiyesi üzerine denemeye karar verdim ve aldım. Başta birebir bir öğretmen veya kurum olmadığı için kendi yapmak istemez ve işe yaramaz diye düşünmüştüm fakat önceden ders stresini yaşadığı için ona bu sistem daha rahat geldi ve daha istekli çalışmaya başladı. Çocuğuma düzenli ve tertipli ders çalışma yetisini kazandırdı, anlamadığı konuları anlamasına, anladıklarına pekiştirmesine yardımcı oldu. Her sorunun çözümlü videosu olması da yanlışlarını anında öğrenmesinde etkili oldu. Normalde akşamları test çözerdi ve sabah da erkenden okula gidip yapamadığı soruları sormak için öğretmenlerinin peşinde koşardı. Videolar sayesinde vaktini arttırdı ve o zamanları da denemeler, testler, ödevler veya kendine ayırarak değerlendirdi.",5,FALSE,Herkese tavsiye ediyorum 👌🏻,Nermin Güler,,"My daughter started high school last year. TEOG, school grades, exam stress was very tired and did not give importance to the 9th grade, the new passing to high school, the grades of the new grades took place. I decided to try it on the advice of a friend from work and I bought it. At first I thought it would not want to do it and use it because it was not a teacher or institution, but because he had experienced the stress of the course in advance, this system came to him more comfortable and started to work more willingly. He gave my child the ability to study regularly and organized, and helped him understand and reinforce what he did not understand. The fact that each problem was solved was also effective in learning his mistakes instantly. He would normally solve the test in the evening and pursue his teachers to ask questions he could go to school early in the morning. Thanks to the videos, he increased his time and evaluated those times by separation of trials, tests, homework or himself."
3,2019-09-29 10:33:01,Uygulama kasıyor çoğu yerin cevabı yok hocalar da güzel anlatamıyor iğrenç param boşa gitti beğenmedim!,1,FALSE,Kötü,Oyuncu*,,"The application is contracted, most of the places do not have the answer to the teachers can not explain beautifully disgusting money went wasted I did not like!"
4,2018-08-12 15:17:02,verdiğim paraya kesinlikle değiyor ben asla düzenli çalışamayan bir öğrenciydim raunt sayesinde her gün planlı ve programlı çalışmaya başladım gayet memnunum ösym için en iyisi diyebilirim,5,FALSE,Mükemmel!!!!,eceyarılkaya,,I was definitely worth the money I gave.
5,2020-08-01 16:36:18,Bu sene mezuna kalınca dershaneye gitmek istemedim ve evden hazırlandım. Evden hazırlanmak için en uygun yöntem raunt geldi ve iyi ki de rauntu seçmişim çook memnun kaldım. Hedeflediğim sıralamaya girdim. Benim için motivasyon çok önemliydi konularda aşırı eksiğim yoktu ben herkese tavsiye ederim,5,FALSE,kesinlikle çok iyi✍🏻👍🏻,kaiwnwşwöşa,,"I didn't want to go to the classroom when I was graduated from this year and I was prepared from home. The most appropriate method to prepare from home came the rant and I was very pleased that I chose the RAUNTU. I got into the target ranking. Motivation was very important for me, I had no excessive lack of issues, I recommend it to everyone."
6,2020-08-01 16:29:12,Yks ye raunt ile hazırlandım ve sıralamam beklediğim gibi geldi bence raunt evden hazırlanıyorsanız çok yeterli ve verimli oluyor. Verdiğiniz paraya değiyor. En önemli şey olan motivasyonu sağlıyor ve ders çalışma programını hazırlıyor. Dershaneye gitmeyen ve sadece raunt kullanan biri olarak ben herkese tavsiye ederim,5,FALSE,Başarılı,nillgnc,,"I was prepared with YKS RAUNT and I think it came as I expected my ranking, I think it is very sufficient and efficient if you are preparing from the house. It's worth the money you give. It provides motivation, which is the most important thing, and prepares the study program. As someone who does not go to the classroom and uses only a raunt, I recommend it to everyone."
7,2020-09-04 17:17:06,Ben Düzenli çalışmazdım düzen getirdi düzende başarı bu kadar diyorum :),5,FALSE,Raunt Düşüncelerim,Roegadyn Youtube,,"I wouldn't work regularly, it brought order, I say that it is so much in order :)"
8,2020-07-17 15:43:09,Rauntu karantina döneminde tavsiye üzerine aldım ve çok memnun kaldım. Hiç çalışamıyordum ve çalışamadıkça daha da modum düşüyordu iyice ertelemeye başlamıştım. Rauntu alınca kendime bir çalışma planı hazırladım ve düzenli olarak uydum beni çok motive etti. Gerçekten konuları anladığımı fark ettim hatta denemelerini bile çözdüm kesinlikle tavsiye ederim,5,FALSE,Güzel,hazzüb,,"I got advice during the Rauntu Quarantine period and I was very pleased. I couldn't work, and unless I could work, my mode was falling even more, I started to postpone it. When I got the RAUNTU, I prepared a work plan for myself and I was regularly motivated by me. I really noticed that I understand the issues, I even solved the experiment, I definitely recommend it."
9,2020-07-16 8:25:56,"Daha önce denediğim hiçbir sana eğitim uygulamasına benzemiyor. Mükkemel yaa, anlatılanları anlamak insana ayrı biz özgüven katıyor. Okullarda boşuna o kadar uzun ve zahmetli bir şekilde anlatıyorlar. Hem bu uygulama sayesinde ilerlemenizi çok iyi bir şekilde takip edebiliyorsunuz. Yaptıkları denemeler sayesinde sizler de ilk günden son güne kadar geçen sürede ne kadar da verimli bir eğitim olduğunu anlicaksınız.",5,FALSE,5 yıldız,eren erkenci,,"None of you like a training application I have tried before. Mückemel yaa, to understand what is described, adds self -confidence. They explain in schools so long and laboriously in vain. With this application, you can follow your progress very well. Thanks to their experiments, you will also remember how efficient education it is from the first day to the last day."
